OC,TH_LAT,TH_LONG,SURVEY_DATE
6.5,42.20593602,-3.610938925,2018-04-24 00:00:00
4.6,38.91494769,-3.96318108,2018-04-24 00:00:00
18.4,39.58637861,-0.559891098,2018-04-24 00:00:00
22.5,38.66246016,-4.305359774,2018-04-25 00:00:00
12.2,38.56253832,-4.237221722,2018-04-25 00:00:00
34.5,41.743094,-2.970191373,2018-04-25 00:00:00
17.3,41.70515679,-2.840377566,2018-04-25 00:00:00
119.8,41.65730415,-2.927528691,2018-04-25 00:00:00
3.7,39.48983509,-6.476387604,2018-04-25 00:00:00
48.3,41.78173471,-2.954102025,2018-04-25 00:00:00
11.8,41.68123985,-2.883968991,2018-04-25 00:00:00
10.3,40.05609335,-3.143812936,2018-04-25 00:00:00
7.9,39.47812872,-2.81433644,2018-04-25 00:00:00
59.4,42.70634398,-7.368023646,2018-04-25 00:00:00
99.8,42.71462237,-7.3203035,2018-04-25 00:00:00
18.7,40.04141125,-3.117064185,2018-04-25 00:00:00
6.5,40.30838135,-3.172486677,2018-04-25 00:00:00
19.3,40.31463293,-3.126161026,2018-04-25 00:00:00
13.9,39.5956016,-4.323038026,2018-04-25 00:00:00
30.1,51.36430514,-0.916031272,2018-04-25 00:00:00
4.2,38.94034874,-7.988548455,2018-04-25 00:00:00
12.6,39.50463351,-2.890090433,2018-04-25 00:00:00
6.6,38.66922057,-4.260246551,2018-04-25 00:00:00
6.6,41.71371871,-2.915213765,2018-04-25 00:00:00
7.4,39.20603472,-1.943040472,2018-04-26 00:00:00
15.5,39.19099094,-1.916955184,2018-04-26 00:00:00
3.8,39.97330741,-3.079347029,2018-04-26 00:00:00
5.7,39.26248282,-1.930024368,2018-04-26 00:00:00
4.2,38.9673951,-8.138163986,2018-04-26 00:00:00
16.4,39.17943053,-4.160640832,2018-04-26 00:00:00
11.1,39.41712046,-0.439023333,2018-04-26 00:00:00
13.4,42.66711384,-3.444746116,2018-04-26 00:00:00
17.7,42.46237585,-3.472267404,2018-04-26 00:00:00
22.4,42.38010414,-3.404295631,2018-04-26 00:00:00
9.9,39.17169838,-4.088581486,2018-04-26 00:00:00
15.9,42.64444946,-3.340555369,2018-04-26 00:00:00
24.3,42.40104608,-3.384371036,2018-04-26 00:00:00
33.8,39.30750917,-0.607892559,2018-04-26 00:00:00
19.8,40.69423853,8.786998175,2018-04-26 00:00:00
